Saṁyutta Nikāya 16.6 ||| Linked Discourses 16.6
‘etha tumhe, bhikkhave, aññamaññaṁ sutena accāvadatha— ||| ‘Please mendicants, compete in studies to
ehi, bhikkhu, ko bahutaraṁ bhāsissati, ko sundarataraṁ bhāsissati, ko cirataraṁ bhāsissatī’”ti? ||| see who can recite more and better and longer’?”
“No hetaṁ, bhante”. ||| “No, sir.”
“No ce kira me tumhe, bhikkhave, evaṁ dhammaṁ desitaṁ ājānātha, atha kiñcarahi tumhe, moghapurisā, kiṁ jānantā kiṁ passantā evaṁ svākkhāte dhammavinaye pabbajitā samānā aññamaññaṁ sutena accāvadatha: ||| “If you’ve never known me to teach the Dhamma like this, what then do you know and see, you futile men, that after going forth in such a well explained teaching and training you’d compete in studies to
‘ehi, bhikkhu, ko bahutaraṁ bhāsissati, ko sundarataraṁ bhāsissati, ko cirataraṁ bhāsissatī’”ti. ||| see who can speak more and better and longer?”
Atha kho te bhikkhū bhagavato pādesu sirasā nipatitvā bhagavantaṁ etadavocuṁ: ||| Then those monks bowed with their heads at the Buddha’s feet and said,
“accayo no, bhante, accagamā, yathābāle yathāmūḷhe yathāakusale, ye mayaṁ evaṁ svākkhāte dhammavinaye pabbajitā samānā aññamaññaṁ sutena accāvadimha: ||| “We made a mistake, sir. It was foolish, stupid, and unskillful of us in that after going forth in such a well explained teaching and training we competed in studies to
‘ehi, bhikkhu, ko bahutaraṁ bhāsissati, ko sundarataraṁ bhāsissati, ko cirataraṁ bhāsissatī’ti. ||| see who can speak more and better and longer.
Tesaṁ no, bhante, bhagavā accayaṁ accayato paṭiggaṇhātu āyatiṁ saṁvarāyā”ti. ||| Please, sir, accept our mistake for what it is, so we will restrain ourselves in future.”
“Taggha tumhe, bhikkhave, accayo accagamā yathābāle yathāmūḷhe yathāakusale, ye tumhe evaṁ svākkhāte dhammavinaye pabbajitā samānā aññamaññaṁ sutena accāvadittha: ||| “Indeed, monks, you made a mistake. It was foolish, stupid, and unskillful of you to act in that way.
‘ehi, bhikkhu, ko bahutaraṁ bhāsissati, ko sundarataraṁ bhāsissati, ko cirataraṁ bhāsissatī’ti.
Yato ca kho tumhe, bhikkhave, accayaṁ accayato disvā yathādhammaṁ paṭikarotha, taṁ vo mayaṁ paṭiggaṇhāma. ||| But since you have recognized your mistake for what it is, and have dealt with it properly, I accept it.
Vuddhi hesā, bhikkhave, ariyassa vinaye yo accayaṁ accayato disvā yathādhammaṁ paṭikaroti āyatiñca saṁvaraṁ āpajjatī”ti. ||| For it is growth in the training of the Noble One to recognize a mistake for what it is, deal with it properly, and commit to restraint in the future.”
Chaṭṭhaṁ.
