Saṁyutta Nikāya 46.6 ||| Linked Discourses 46.6
Tassa ṭhito ca kāyo hoti ṭhitaṁ cittaṁ ajjhattaṁ susaṇṭhitaṁ suvimuttaṁ. ||| Their mind and body are steady internally, well settled and well freed.
Puna caparaṁ, kuṇḍaliya, bhikkhu sotena saddaṁ sutvā …pe… ||| Furthermore, a mendicant hears an agreeable sound with the ear …
ghānena gandhaṁ ghāyitvā …pe… ||| smells an agreeable odor with the nose …
jivhāya rasaṁ sāyitvā …pe… ||| tastes an agreeable flavor with the tongue …
kāyena phoṭṭhabbaṁ phusitvā …pe… ||| feels an agreeable touch with the body …
manasā dhammaṁ viññāya manāpaṁ nābhijjhati nābhihaṁsati, na rāgaṁ janeti. ||| knows an agreeable idea with their mind. They don’t desire it or enjoy it, and they don’t give rise to greed.
Tassa ṭhito ca kāyo hoti, ṭhitaṁ cittaṁ ajjhattaṁ susaṇṭhitaṁ suvimuttaṁ. ||| Their mind and body are steady internally, well settled and well freed.
Manasā kho paneva dhammaṁ viññāya amanāpaṁ na maṅku hoti appatiṭṭhitacitto adīnamānaso abyāpannacetaso. ||| But if they know a disagreeable idea they’re undismayed, with mind unirritated, spirit undaunted, and heart unangered.
Tassa ṭhito ca kāyo hoti, ṭhitaṁ cittaṁ ajjhattaṁ susaṇṭhitaṁ suvimuttaṁ. ||| Their mind and body are steady internally, well settled and well freed.
Yato kho, kuṇḍaliya, bhikkhuno cakkhunā rūpaṁ disvā manāpāmanāpesu rūpesu ṭhito ca kāyo hoti, ṭhitaṁ cittaṁ ajjhattaṁ susaṇṭhitaṁ suvimuttaṁ. ||| When a mendicant’s mind and body are steady internally, they’re well settled and well freed when it comes to both agreeable and disagreeable sights,
Sotena saddaṁ sutvā …pe… ||| sounds,
ghānena gandhaṁ ghāyitvā …pe… ||| smells,
jivhāya rasaṁ sāyitvā …pe… ||| tastes,
kāyena phoṭṭhabbaṁ phusitvā …pe… ||| touches,
manasā dhammaṁ viññāya manāpāmanāpesu dhammesu ṭhito ca kāyo hoti, ṭhitaṁ cittaṁ ajjhattaṁ susaṇṭhitaṁ suvimuttaṁ. ||| and ideas.
Evaṁ bhāvito kho, kuṇḍaliya, indriyasaṁvaro evaṁ bahulīkato tīṇi sucaritāni paripūreti. ||| That’s how sense restraint is developed and cultivated so as to fulfill the three kinds of good conduct.
Kathaṁ bhāvitāni ca, kuṇḍaliya, tīṇi sucaritāni kathaṁ bahulīkatāni cattāro satipaṭṭhāne paripūrenti? ||| And how are the three kinds of good conduct developed and cultivated so as to fulfill the four kinds of mindfulness meditation?
Idha, kuṇḍaliya, bhikkhu kāyaduccaritaṁ pahāya kāyasucaritaṁ bhāveti, vacīduccaritaṁ pahāya vacīsucaritaṁ bhāveti, manoduccaritaṁ pahāya manosucaritaṁ bhāveti. ||| A mendicant gives up bad conduct by way of body, speech, and mind, and develops good conduct by way of body, speech, and mind.
Evaṁ bhāvitāni kho, kuṇḍaliya, tīṇi sucaritāni evaṁ bahulīkatāni cattāro satipaṭṭhāne paripūrenti. ||| That’s how the three kinds of good conduct are developed and cultivated so as to fulfill the four kinds of mindfulness meditation.
Kathaṁ bhāvitā ca, kuṇḍaliya, cattāro satipaṭṭhānā kathaṁ bahulīkatā satta bojjhaṅge paripūrenti? ||| And how are the four kinds of mindfulness meditation developed and cultivated so as to fulfill the seven awakening factors?
Idha, kuṇḍaliya, bhikkhu kāye kāyānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ; ||| A mendicant meditates by observing an aspect of the body—keen, aware, and mindful, rid of covetousness and displeasure for the world.
vedanāsu …pe… ||| They meditate observing an aspect of feelings …
citte …pe… ||| mind …
dhammesu dhammānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| principles—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Evaṁ bhāvitā kho, kuṇḍaliya, cattāro satipaṭṭhānā evaṁ bahulīkatā satta bojjhaṅge paripūrenti. ||| That’s how the four kinds of mindfulness meditation are developed and cultivated so as to fulfill the seven awakening factors.
Kathaṁ bhāvitā ca, kuṇḍaliya, satta bojjhaṅgā kathaṁ bahulīkatā vijjāvimuttiṁ paripūrenti? ||| And how are the seven awakening factors developed and cultivated so as to fulfill knowledge and freedom?
Idha, kuṇḍaliya, bhikkhu satisambojjhaṅgaṁ bhāveti vivekanissitaṁ virāganissitaṁ nirodhanissitaṁ vossaggapariṇāmiṁ …pe… ||| A mendicant develops the awakening factors of mindfulness, investigation of principles, energy, rapture, tranquility, immersion,
upekkhāsambojjhaṅgaṁ bhāveti vivekanissitaṁ virāganissitaṁ nirodhanissitaṁ vossaggapariṇāmiṁ. ||| and equanimity, which rely on seclusion, fading away, and cessation, and ripen as letting go.
Evaṁ bhāvitā kho, kuṇḍaliya, satta bojjhaṅgā evaṁ bahulīkatā vijjāvimuttiṁ paripūrentī”ti. ||| That’s how the seven awakening factors are developed and cultivated so as to fulfill knowledge and freedom.”
Evaṁ vutte, kuṇḍaliyo paribbājako bhagavantaṁ etadavoca: ||| When he said this, the wanderer Kuṇḍaliya said to the Buddha,
“abhikkantaṁ, bho gotama, abhikkantaṁ, bho gotama. ||| “Excellent, worthy Gotama! Excellent!
Seyyathāpi, bho gotama, nikkujjitaṁ vā ukkujjeyya, paṭicchannaṁ vā vivareyya, mūḷhassa vā maggaṁ ācikkheyya, andhakāre vā telapajjotaṁ dhāreyya: ‘cakkhumanto rūpāni dakkhantī’ti; evameva bhotā gotamena anekapariyāyena dhammo pakāsito. ||| As if he were righting the overturned, or revealing the hidden, or pointing out the path to the lost, or lighting a lamp in the dark so people with clear eyes can see what’s there, worthy Gotama has made the teaching clear in many ways.
Esāhaṁ bhavantaṁ gotamaṁ saraṇaṁ gacchāmi dhammañca bhikkhusaṅghañca. ||| I go for refuge to the worthy Gotama, to the teaching, and to the mendicant Saṅgha.
Upāsakaṁ maṁ bhavaṁ gotamo dhāretu ajjatagge pāṇupetaṁ saraṇaṁ gatan”ti. ||| From this day forth, may the worthy Gotama remember me as a lay follower who has gone for refuge for life.”
Chaṭṭhaṁ.
